,total_fluid,true_vertical_depth,OilPeakRate,bin_lateral_length,frac_fluid_intensity,ffs_frac_type_Linear Only,ffs_frac_type_Slickwater Crosslink Hybrid,ffs_frac_type_Slickwater Linear Hybrid,ffs_frac_type_Slickwater Only,ffs_frac_type_Undefined,relative_well_position_Outer Well,relative_well_position_Standalone Well,relative_well_position_Unknown,batch_frac_classification_Batch-Sequential Frac,batch_frac_classification_Non-Batch Frac,batch_frac_classification_Unknown,well_family_relationship_Sibling Well,well_family_relationship_Standalone Well,well_family_relationship_Unknown,gross_perforated_length_bins
0,3467339.6500000004,8712.598425,46.62302309,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1,561096.3964,8627.952756,59.75000925,1.0,176.4934795,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,1621423.513,8801.181102,10.78571595,1.0,425.5660783,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3,437713.4249,8635.826772,123.7976382,1.0,117.5566587,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
4,622980.1559,8664.370079,102.3095396,1.0,163.4679335,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
5,563885.6587,8668.307087000001,98.63096765,1.0,159.4511075,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6,847944.2384,8711.614173,123.286527,1.0,185.3111091,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
7,609599.5943,8704.724409,136.21430680000003,1.0,130.44506909999998,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
8,636864.0986,8700.787402,181.2762185,1.0,141.6182806,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,645947.1,8624.015748,70.76191571,1.0,157.7222431,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,559791.0747,8586.614173,88.17779142,1.0,122.8927684,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
11,661375.1381,8639.76378,208.4258259,1.0,139.93276559999998,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
12,686340.1062,8666.338583,82.86906044,1.0,205.5782865,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
13,590513.9247,8643.700787,87.55337972,1.0,159.5644009,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
14,407092.063,8564.96063,95.88096722,1.0,89.95335711,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
15,575935.0653,8624.015748,175.5217108,1.0,124.765464,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
16,3467339.6500000004,8615.15748,60.16667598,1.0,570.8121912,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
17,597060.8305,8624.015748,93.01231598,1.0,166.0136299,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
18,616264.5954,8629.92126,54.92857993,1.0,131.8990581,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
19,588163.091,8617.125984,72.41667787,1.0,146.57191569999998,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,452662.0701,8691.929134,63.11905739,1.0,121.0594007,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
21,594318.8063,8555.11811,133.41073490000002,1.0,128.0110043,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
22,3467339.6500000004,8705.708661,31.7996081,1.0,570.8121912,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
23,3467339.6500000004,8649.606299,20.64286034,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
24,684340.6059,8598.425197,76.35715467,1.0,144.19121850000002,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
25,609197.3324,8588.582677,178.69050380000002,1.0,129.6761973,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
26,3467339.6500000004,8899.606299,9.30952525,1.0,570.8121912,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
27,428098.2567,8682.086614,81.85715553,1.0,105.4674658,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
28,3467339.6500000004,8628.937007999999,82.80953663,1.0,570.8121912,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
29,533220.3801,8719.488189,6.202381912000001,1.0,110.0003871,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
30,382493.5592,8462.598425,185.8647113,1.0,140.5982113,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
31,3467339.6500000004,8517.716535,15.2380976,1.5,570.8121912,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
32,3467339.6500000004,8576.771654,276.61909039999995,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
33,3467339.6500000004,8581.692912999999,204.2976507,1.0,570.8121912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,473315.0852,8522.637795,121.8333522,1.0,120.8261624,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,1016598.657,8605.314961,83.51298912,1.0,253.0289652,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
36,530286.0821,8572.834646,246.4992445,1.0,129.7929799,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
37,3467339.6500000004,8426.181102,15.25397061,0.0,570.8121912,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
38,3467339.6500000004,8911.417323,21.51190809,1.0,570.8121912,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
39,562187.6703,8718.503937000001,35.41595786,1.0,167.5513855,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
40,1099389.337,8661.417323,52.71429387,1.5,171.0797314,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
41,1019456.932,8661.417323,225.8571778,1.5,160.509568,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
42,3467339.6500000004,8604.330709,65.94881973,1.0,570.8121912,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
43,393855.061,8614.173228,46.02024522,1.0,97.81391883,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
44,671352.7109999999,8544.291339,207.3924924,1.0,177.3055249,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
45,440176.08,8627.952756,34.52071963,1.0,124.50414740000002,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,823715.1513,8596.456693,215.2619381,1.0,220.5255846,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
47,1321109.121,4128.937008,28.28571866,1.0,297.6817181,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
50,3467339.6500000004,8253.937007999999,1.820635202,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
51,492490.4334,7674.212598,1.500793883,1.0,155.83004680000002,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
52,3467339.6500000004,2973.425197,46.57143578,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
53,717386.6109999999,2950.787402,29.03614395,1.0,184.8503162,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
54,1132306.175,3148.622047,181.9159012,1.0,252.8402361,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
55,954149.1477,3013.779528,68.40477249,1.0,307.84869289999995,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
56,1531493.237,9076.771654,125.2143051,1.0,278.0055617,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
60,3467339.6500000004,3122.0472440000003,176.3125273,1.0,570.8121912,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
61,851399.6318,3169.291339,197.02384,1.0,182.0715693,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
62,1439950.2230000002,9076.771654,143.55954599999998,1.0,352.44264669999995,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
66,1505329.233,3267.716535,128.2317659,1.0,339.7943792,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
68,1720422.7659999998,3166.338583,70.73810619,1.0,344.4914329,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
69,1673907.259,3117.125984,148.2833563,1.0,317.8859393,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
70,1702458.263,3078.740157,12.58333528,1.0,316.1574841,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
85,690571.6069,6915.3543310000005,17.21798296,1.5,99.67619727,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
87,756555.1171,9259.84252,165.3333589,1.5,104.9078748,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
88,1108750.969,6553.149606,9.448358605,0.0,523.9492951999999,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
91,1327450.467,2674.212598,60.2900887,1.0,373.8053422,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
92,3467339.6500000004,9076.771654,11.80952564,1.5,570.8121912,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
93,3467339.6500000004,9076.771654,8.844842639,1.5,570.8121912,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
94,970849.6622,9076.771654,13.63095449,1.0,294.8828869,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
96,240916.1682,7895.669290999999,75.91667842,1.0,89.46302154,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
100,3467339.6500000004,8312.992126000001,38.27381545,1.0,570.8121912,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
107,684294.1059,6493.110236,101.53573,1.0,184.6594453,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
110,3467339.6500000004,6380.905511999999,100.1718409,0.0,570.8121912,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
111,3467339.6500000004,5097.440945,19.14286011,0.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
113,450660.3555,8059.055118000001,217.6905099,1.0,116.9529811,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
116,595520.4255,7220.472441,56.04762772,1.0,136.91983530000002,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
117,769556.6667,9076.771654,11.76190658,1.5,570.8121912,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
118,542141.3696,6554.133858,172.988122,1.0,180.595289,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
120,995509.7969,9655.511811,19.15357439,1.0,271.3812594,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
121,943108.7174,7182.086614,131.06464609999998,1.0,248.8827161,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
122,3467339.6500000004,6953.740156999999,19.77381258,1.0,570.8121912,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
123,3467339.6500000004,10531.49606,5.892461228999999,1.5,570.8121912,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
125,609785.5944,9600.393701,0.76190488,0.0,317.2258904,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
127,573281.6125,8166.338583,230.8690833,1.0,150.31074019999997,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
128,3467339.6500000004,8212.598425,166.23137490000002,1.0,570.8121912,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
129,552565.1212,7093.503937,62.55953349,1.0,122.1776198,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
130,3467339.6500000004,7911.417323000001,107.355969,1.0,570.8121912,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
131,1242883.192,6441.929134,62.05953341,1.0,305.0167448,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
132,213316.9378,7896.653543,13.32143063,1.0,57.03421284,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
133,503052.5779,8165.354331,145.89287969999998,1.0,130.0512517,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
134,448607.7123,7069.881890000001,27.30952804,1.0,104.537944,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
135,1002165.572,6972.440945,57.25000886,1.0,246.8364172,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
136,855363.2038,6121.062992,12.35714477,1.5,137.7256759,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
